kategori,urun_adi,marka_yayinevi,liste_fiyat_tl,indirimli_fiyat_tl,indirim_orani_%,url
Pulitzer Ödüllü Kitaplar,Petrol - Para ve Güç Çatışmasının Epik Öyküsü,İş Bankası Kültür Yayınları,2990.0,2840.5,5.0,https://www.idefix.com/petrol-para-ve-guc-catismasinin-epik-oykusu-p-1131024#sortId=1131024
Pulitzer Ödüllü Kitaplar,Pegasus Yayınevi Kül Mevsimi,Pegasus Yayınevi,890.0,845.5,5.0,https://www.idefix.com/pegasus-yayinevi-kul-mevsimi-p-1514075#sortId=1514075
Pulitzer Ödüllü Kitaplar,İt Kopuk Takımı,Pegasus Yayınevi,301.39,226.04,25.0,https://www.idefix.com/it-kopuk-takimi-p-1514953#sortId=1514953
Pulitzer Ödüllü Kitaplar,Tamirci,Kafka Kitap,409.65,397.36,3.0,https://www.idefix.com/tamirci-p-373393#sortId=373393
Pulitzer Ödüllü Kitaplar,Yetimlerin Efendisi'nin Oğlu,Pegasus Yayınevi,244.83,237.49,3.0,https://www.idefix.com/yetimlerin-efendisinin-oglu-p-1515249#sortId=1515249
Pulitzer Ödüllü Kitaplar,Yeraltı Demiryolu,Siren Yayınları,443.52,332.64,25.0,https://www.idefix.com/yeralti-demiryolu-p-238127#sortId=238127
Pulitzer Ödüllü Kitaplar,Angela'nın Külleri 2 - Umuda Doğru,Epsilon Yayınevi,730.0,693.5,5.0,https://www.idefix.com/angelanin-kulleri-2-umuda-dogru-p-195899#sortId=195899
Pulitzer Ödüllü Kitaplar,Bülbülü Öldürmek,Sel Yayıncılık,1000.0,950.0,5.0,https://www.idefix.com/bulbulu-oldurmek-p-1175532#sortId=1175532
Pulitzer Ödüllü Kitaplar,Tavşan Dibe Vurdu,Alef,555.28,527.52,5.0,https://www.idefix.com/tavsan-dibe-vurdu-p-202525#sortId=202525
Pulitzer Ödüllü Kitaplar,İmge Kitabevi Masumiyet Çağı,İmge Kitabevi,548.35,411.26,25.0,https://www.idefix.com/imge-kitabevi-masumiyet-cagi-p-182993#sortId=182993
Pulitzer Ödüllü Kitaplar,Ey Yıkılmış Hayaller Şehiri Toplu Öyküler 2,Everest Yayınları,236.88,177.66,25.0,https://www.idefix.com/ey-yikilmis-hayaller-sehiri-toplu-oykuler-2-p-206896#sortId=206896
Pulitzer Ödüllü Kitaplar,Sevilen,Sel Yayıncılık,478.8,359.1,25.0,https://www.idefix.com/sevilen-p-344338#sortId=344338
Pulitzer Ödüllü Kitaplar,Nickel Çocukları,Siren Yayınları,282.24,211.68,25.0,https://www.idefix.com/nickel-cocuklari-p-268904#sortId=268904
Pulitzer Ödüllü Kitaplar,Pegasus Yayınevi Saka Kuşu,Pegasus Yayınevi,681.0,660.57,3.0,https://www.idefix.com/pegasus-yayinevi-saka-kusu-p-1516224#sortId=1516224
Pulitzer Ödüllü Kitaplar,Ayrıntı Yayınları Pastoral Amerika,Ayrıntı Yayınları,483.84,362.88,25.0,https://www.idefix.com/ayrinti-yayinlari-pastoral-amerika-p-203553#sortId=203553
Pulitzer Ödüllü Kitaplar,Middlesex,Domingo Yayınevi,379.5,368.11,3.0,https://www.idefix.com/middlesex-p-188373#sortId=188373
Pulitzer Ödüllü Kitaplar,Yaşlı Adam ve Deniz,Bilgi Yayınevi,277.2,207.9,25.0,https://www.idefix.com/yasli-adam-ve-deniz-p-207795#sortId=207795
